survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,embark_town,alive,alone,fare_capped,sex_encoded,embarked_c,embarked_q,embarked_s,family_size,is_alone
0,3,male,22.0,1,0,7.25,third,man,True,southampton,no,False,7.25,0,False,False,True,2,0
1,1,female,38.0,1,0,71.2833,first,woman,False,cherbourg,yes,False,65.6344,1,True,False,False,2,0
1,3,female,26.0,0,0,7.925,third,woman,False,southampton,yes,True,7.925,1,False,False,True,1,1
1,1,female,35.0,1,0,53.1,first,woman,False,southampton,yes,False,53.1,1,False,False,True,2,0
0,3,male,35.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,male,25.0,0,0,8.4583,third,man,True,queenstown,no,True,8.4583,0,False,True,False,1,1
0,1,male,54.0,0,0,51.8625,first,man,True,southampton,no,True,51.8625,0,False,False,True,1,1
0,3,male,2.0,3,1,21.075,third,child,False,southampton,no,False,21.075,0,False,False,True,5,0
1,3,female,27.0,0,2,11.1333,third,woman,False,southampton,yes,False,11.1333,1,False,False,True,3,0
1,2,female,14.0,1,0,30.0708,second,child,False,cherbourg,yes,False,30.0708,1,True,False,False,2,0
1,3,female,4.0,1,1,16.7,third,child,False,southampton,yes,False,16.7,1,False,False,True,3,0
1,1,female,58.0,0,0,26.55,first,woman,False,southampton,yes,True,26.55,1,False,False,True,1,1
0,3,male,20.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,male,39.0,1,5,31.275,third,man,True,southampton,no,False,31.275,0,False,False,True,7,0
0,3,female,14.0,0,0,7.8542,third,child,False,southampton,no,True,7.8542,1,False,False,True,1,1
1,2,female,55.0,0,0,16.0,second,woman,False,southampton,yes,True,16.0,1,False,False,True,1,1
0,3,male,2.0,4,1,29.125,third,child,False,queenstown,no,False,29.125,0,False,True,False,6,0
1,2,male,30.0,0,0,13.0,second,man,True,southampton,yes,True,13.0,0,False,False,True,1,1
0,3,female,31.0,1,0,18.0,third,woman,False,southampton,no,False,18.0,1,False,False,True,2,0
1,3,female,21.5,0,0,7.225,third,woman,False,cherbourg,yes,True,7.225,1,True,False,False,1,1
0,2,male,35.0,0,0,26.0,second,man,True,southampton,no,True,26.0,0,False,False,True,1,1
1,2,male,34.0,0,0,13.0,second,man,True,southampton,yes,True,13.0,0,False,False,True,1,1
1,3,female,15.0,0,0,8.0292,third,child,False,queenstown,yes,True,8.0292,1,False,True,False,1,1
1,1,male,28.0,0,0,35.5,first,man,True,southampton,yes,True,35.5,0,False,False,True,1,1
0,3,female,8.0,3,1,21.075,third,child,False,southampton,no,False,21.075,1,False,False,True,5,0
1,3,female,38.0,1,5,31.3875,third,woman,False,southampton,yes,False,31.3875,1,False,False,True,7,0
0,3,male,25.0,0,0,7.225,third,man,True,cherbourg,no,True,7.225,0,True,False,False,1,1
0,1,male,19.0,3,2,263.0,first,man,True,southampton,no,False,65.6344,0,False,False,True,6,0
1,3,female,21.5,0,0,7.8792,third,woman,False,queenstown,yes,True,7.8792,1,False,True,False,1,1
0,3,male,25.0,0,0,7.8958,third,man,True,southampton,no,True,7.8958,0,False,False,True,1,1
0,1,male,40.0,0,0,27.7208,first,man,True,cherbourg,no,True,27.7208,0,True,False,False,1,1
1,1,female,35.0,1,0,146.5208,first,woman,False,cherbourg,yes,False,65.6344,1,True,False,False,2,0
1,3,female,21.5,0,0,7.75,third,woman,False,queenstown,yes,True,7.75,1,False,True,False,1,1
0,2,male,66.0,0,0,10.5,second,man,True,southampton,no,True,10.5,0,False,False,True,1,1
0,1,male,28.0,1,0,82.1708,first,man,True,cherbourg,no,False,65.6344,0,True,False,False,2,0
0,1,male,42.0,1,0,52.0,first,man,True,southampton,no,False,52.0,0,False,False,True,2,0
1,3,male,25.0,0,0,7.2292,third,man,True,cherbourg,yes,True,7.2292,0,True,False,False,1,1
0,3,male,21.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,female,18.0,2,0,18.0,third,woman,False,southampton,no,False,18.0,1,False,False,True,3,0
1,3,female,14.0,1,0,11.2417,third,child,False,cherbourg,yes,False,11.2417,1,True,False,False,2,0
0,3,female,40.0,1,0,9.475,third,woman,False,southampton,no,False,9.475,1,False,False,True,2,0
0,2,female,27.0,1,0,21.0,second,woman,False,southampton,no,False,21.0,1,False,False,True,2,0
0,3,male,25.0,0,0,7.8958,third,man,True,cherbourg,no,True,7.8958,0,True,False,False,1,1
1,2,female,3.0,1,2,41.5792,second,child,False,cherbourg,yes,False,41.5792,1,True,False,False,4,0
1,3,female,19.0,0,0,7.8792,third,woman,False,queenstown,yes,True,7.8792,1,False,True,False,1,1
0,3,male,25.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,male,25.0,1,0,15.5,third,man,True,queenstown,no,False,15.5,0,False,True,False,2,0
1,3,female,21.5,0,0,7.75,third,woman,False,queenstown,yes,True,7.75,1,False,True,False,1,1
0,3,male,25.0,2,0,21.6792,third,man,True,cherbourg,no,False,21.6792,0,True,False,False,3,0
0,3,female,18.0,1,0,17.8,third,woman,False,southampton,no,False,17.8,1,False,False,True,2,0
0,3,male,7.0,4,1,39.6875,third,child,False,southampton,no,False,39.6875,0,False,False,True,6,0
0,3,male,21.0,0,0,7.8,third,man,True,southampton,no,True,7.8,0,False,False,True,1,1
1,1,female,49.0,1,0,76.7292,first,woman,False,cherbourg,yes,False,65.6344,1,True,False,False,2,0
1,2,female,29.0,1,0,26.0,second,woman,False,southampton,yes,False,26.0,1,False,False,True,2,0
0,1,male,65.0,0,1,61.9792,first,man,True,cherbourg,no,False,61.9792,0,True,False,False,2,0
1,1,male,40.0,0,0,35.5,first,man,True,southampton,yes,True,35.5,0,False,False,True,1,1
1,2,female,21.0,0,0,10.5,second,woman,False,southampton,yes,True,10.5,1,False,False,True,1,1
0,3,male,28.5,0,0,7.2292,third,man,True,cherbourg,no,True,7.2292,0,True,False,False,1,1
1,2,female,5.0,1,2,27.75,second,child,False,southampton,yes,False,27.75,1,False,False,True,4,0
0,3,male,11.0,5,2,46.9,third,child,False,southampton,no,False,46.9,0,False,False,True,8,0
0,3,male,22.0,0,0,7.2292,third,man,True,cherbourg,no,True,7.2292,0,True,False,False,1,1
1,1,female,38.0,0,0,80.0,first,woman,False,southampton,yes,True,65.6344,1,False,False,True,1,1
0,1,male,45.0,1,0,83.475,first,man,True,southampton,no,False,65.6344,0,False,False,True,2,0
0,3,male,4.0,3,2,27.9,third,child,False,southampton,no,False,27.9,0,False,False,True,6,0
0,1,male,40.0,0,0,27.7208,first,man,True,cherbourg,no,True,27.7208,0,True,False,False,1,1
1,3,male,25.0,1,1,15.2458,third,man,True,cherbourg,yes,False,15.2458,0,True,False,False,3,0
1,2,female,29.0,0,0,10.5,second,woman,False,southampton,yes,True,10.5,1,False,False,True,1,1
0,3,male,19.0,0,0,8.1583,third,man,True,southampton,no,True,8.1583,0,False,False,True,1,1
1,3,female,17.0,4,2,7.925,third,woman,False,southampton,yes,False,7.925,1,False,False,True,7,0
0,3,male,26.0,2,0,8.6625,third,man,True,southampton,no,False,8.6625,0,False,False,True,3,0
0,2,male,32.0,0,0,10.5,second,man,True,southampton,no,True,10.5,0,False,False,True,1,1
0,3,female,16.0,5,2,46.9,third,woman,False,southampton,no,False,46.9,1,False,False,True,8,0
0,2,male,21.0,0,0,73.5,second,man,True,southampton,no,True,65.6344,0,False,False,True,1,1
0,3,male,26.0,1,0,14.4542,third,man,True,cherbourg,no,False,14.4542,0,True,False,False,2,0
1,3,male,32.0,0,0,56.4958,third,man,True,southampton,yes,True,56.4958,0,False,False,True,1,1
0,3,male,25.0,0,0,7.65,third,man,True,southampton,no,True,7.65,0,False,False,True,1,1
0,3,male,25.0,0,0,7.8958,third,man,True,southampton,no,True,7.8958,0,False,False,True,1,1
0,3,male,25.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
1,2,male,0.83,0,2,29.0,second,child,False,southampton,yes,False,29.0,0,False,False,True,3,0
1,3,female,30.0,0,0,12.475,third,woman,False,southampton,yes,True,12.475,1,False,False,True,1,1
0,3,male,22.0,0,0,9.0,third,man,True,southampton,no,True,9.0,0,False,False,True,1,1
1,3,male,29.0,0,0,9.5,third,man,True,southampton,yes,True,9.5,0,False,False,True,1,1
1,3,female,21.5,0,0,7.7875,third,woman,False,queenstown,yes,True,7.7875,1,False,True,False,1,1
0,1,male,28.0,0,0,47.1,first,man,True,southampton,no,True,47.1,0,False,False,True,1,1
1,2,female,17.0,0,0,10.5,second,woman,False,southampton,yes,True,10.5,1,False,False,True,1,1
1,3,female,33.0,3,0,15.85,third,woman,False,southampton,yes,False,15.85,1,False,False,True,4,0
0,3,male,16.0,1,3,34.375,third,man,True,southampton,no,False,34.375,0,False,False,True,5,0
0,3,male,25.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
1,1,female,23.0,3,2,263.0,first,woman,False,southampton,yes,False,65.6344,1,False,False,True,6,0
0,3,male,24.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,male,29.0,0,0,8.05,third,man,True,southampton,no,True,8.05,0,False,False,True,1,1
0,3,male,20.0,0,0,7.8542,third,man,True,southampton,no,True,7.8542,0,False,False,True,1,1
0,1,male,46.0,1,0,61.175,first,man,True,southampton,no,False,61.175,0,False,False,True,2,0
0,3,male,26.0,1,2,20.575,third,man,True,southampton,no,False,20.575,0,False,False,True,4,0
0,3,male,59.0,0,0,7.25,third,man,True,southampton,no,True,7.25,0,False,False,True,1,1
